symbol,entry_time,exit_time,holding_days,shares,entry_price,exit_price,entry_cost,exit_cost,gross_pnl,net_pnl,return_pct,is_win
ICICIBANK,2023-11-15 03:45:00,2023-12-05 03:45:00,20,55,944.87,1002.0,77.94,82.68,3141.96,2981.34,0.0605,True
ICICIBANK,2023-11-21 03:45:00,2023-12-05 03:45:00,14,120,924.86,1002.0,166.45,180.39,9256.38,8909.55,0.0834,True
RELIANCE,2023-12-05 03:45:00,2023-12-12 03:45:00,7,315,1220.11,1229.38,576.41,580.98,2921.7,1764.32,0.0076,True
TCS,2023-11-29 03:45:00,2023-12-12 03:45:00,13,15,3482.74,3637.13,78.35,81.85,2315.85,2155.65,0.0443,True
TCS,2023-12-05 03:45:00,2023-12-12 03:45:00,7,47,3539.77,3637.13,249.51,256.46,4575.99,4070.02,0.0275,True
INFY,2023-11-29 03:45:00,2023-12-19 03:45:00,20,256,1451.83,1569.31,557.41,602.72,30077.29,28917.16,0.0809,True
INFY,2023-12-05 03:45:00,2023-12-19 03:45:00,14,6,1466.53,1569.31,13.2,14.13,616.69,589.37,0.0701,True
HDFCBANK,2023-12-19 03:45:00,2023-12-27 03:45:00,8,117,825.41,840.33,144.84,147.5,1745.3,1452.97,0.0181,True
HDFCBANK,2023-12-19 03:45:00,2024-01-02 03:45:00,14,83,825.41,848.98,102.75,105.72,1955.71,1747.25,0.0285,True
ICICIBANK,2023-12-27 03:45:00,2024-01-02 03:45:00,6,25,998.45,996.5,37.44,37.38,-48.69,-123.5,-0.002,False
TCS,2023-12-27 03:45:00,2024-01-02 03:45:00,6,5,3800.9,3809.19,28.5,28.57,41.48,-15.6,0.0022,False
HDFCBANK,2023-12-19 03:45:00,2024-01-09 03:45:00,21,11,825.41,833.16,13.62,13.75,85.2,57.84,0.0094,True
ICICIBANK,2023-12-27 03:45:00,2024-01-09 03:45:00,13,90,998.45,985.76,134.77,133.1,-1142.29,-1410.16,-0.0127,False
TCS,2023-12-27 03:45:00,2024-01-09 03:45:00,13,3,3800.9,3708.09,17.1,16.69,-278.41,-312.2,-0.0244,False
INFY,2023-12-27 03:45:00,2024-01-16 03:45:00,20,14,1544.77,1643.98,32.43,34.53,1388.88,1321.91,0.0642,True
